"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3852","pom smoke test","webkit","2026-08-19","passed","2026-08-19","","POMsmoke.spec.js","",""
"","8988","Checkout","webkit","2026-08-19","passed","2026-08-19","","checkout.spec.js","",""
"","2307","failed login case for stanrd_user","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","2705","login test case standard_user","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3078","Add Product To Cart","chromium","2026-08-19","passed","2026-08-19","","addtocart.spec.js","",""
"","35425","get started link","firefox","2026-08-19","broken","2026-08-19","","example.spec.js","",""
"","3207","get started link","chromium","2026-08-19","passed","2026-08-19","","example.spec.js","",""
"","2721","has title","chromium","2026-08-19","passed","2026-08-19","","example.spec.js","",""
"","2875","failed login case for locked_o_user","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","5140","get started link","webkit","2026-08-19","passed","2026-08-19","","example.spec.js","",""
"","5304","Add Product To Cart","webkit","2026-08-19","passed","2026-08-19","","logout.spec.js","",""
"","3679","failed login case for probleuser","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","4061","Add Product To Cart","webkit","2026-08-19","passed","2026-08-19","","addtocart.spec.js","",""
"","2075","failed login case for locked_o_user","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3526","has title","webkit","2026-08-19","passed","2026-08-19","","example.spec.js","",""
"","1979","login test case visual_user","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3494","Valid login case for user","chromium","2026-08-19","passed","2026-08-19","Login","login.spec.js","",""
"","2402","login test case standard_user","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","6520","end to end encryption","firefox","2026-08-19","passed","2026-08-19","","smoke.spec.js","",""
"","2457","pom smoke test","chromium","2026-08-19","passed","2026-08-19","","POMsmoke.spec.js","",""
"","3928","pom smoke test","firefox","2026-08-19","passed","2026-08-19","","POMsmoke.spec.js","",""
"","26780","end to end encryption","webkit","2026-08-19","passed","2026-08-19","","smoke.spec.js","",""
"","3112","failed login case for locked_o_user","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","2635","login test case visual_user","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","33440","has title","firefox","2026-08-19","broken","2026-08-19","","example.spec.js","",""
"","6418","Add Product To Cart","firefox","2026-08-19","passed","2026-08-19","","addtocart.spec.js","",""
"","1726","failed login case for stanrd_user","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3213","failed login case for probleuser","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","8109","Checkout","firefox","2026-08-19","passed","2026-08-19","","checkout.spec.js","",""
"","6990","end to end encryption","chromium","2026-08-19","passed","2026-08-19","","smoke.spec.js","",""
"","2255","login test case visual_user","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3680","Add Product To Cart","firefox","2026-08-19","passed","2026-08-19","","logout.spec.js","",""
"","1644","login test case standard_user","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","2188","Home page inventory","webkit","2026-08-19","passed","2026-08-19","","home.spec.js","",""
"","1792","Home page inventory","chromium","2026-08-19","passed","2026-08-19","","home.spec.js","",""
"","3542","Add Product To Cart","chromium","2026-08-19","passed","2026-08-19","","logout.spec.js","",""
"","11292","login test case problem_user","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","1943","login test case problem_user","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","2002","failed login case for probleuser","chromium","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","3551","Checkout","chromium","2026-08-19","passed","2026-08-19","","checkout.spec.js","",""
"","2512","login test case problem_user","webkit","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","2624","failed login case for stanrd_user","firefox","2026-08-19","passed","2026-08-19","","login.spec.js","",""
"","23469","Home page inventory","firefox","2026-08-19","passed","2026-08-19","","home.spec.js","",""
